name_mentioned0,pos_neighbors0,name_mentioned2,pos_neighbors1,name_mentioned1,neg2,price_change,neg1,total0,total1,total2,pos_neighbors2,neg_neighbors0,neg_neighbors1,neg_neighbors2,pos2,neg0,pos0,pos1
33,20,36,4,9,65,0.014792703,44,5032,3155,5138,20,4,1,2,362,88,387,293
53,41,24,85,114,229,0.020570591,298,4424,10032,11505,19,14,33,6,979,97,370,690
114,85,21,19,24,95,0.006392169,229,10032,11505,4208,16,33,6,5,291,298,690,979
24,13,53,17,35,97,-0.034930891,108,3138,4267,4424,41,8,6,14,370,100,232,352
35,17,114,41,53,298,-0.011362828,97,4267,4424,10032,85,6,14,33,690,108,352,370
9,6,32,6,10,246,0.015313583,58,4107,3221,8296,15,1,4,7,673,66,329,231
10,6,18,15,32,202,0.009967048,246,3221,8296,7916,13,4,7,6,531,58,231,673
32,15,2,13,18,77,0.003943453,202,8296,7916,2411,0,7,6,2,153,246,673,531
10,6,16,26,42,98,0.062279544,80,2819,3496,5885,12,0,9,1,494,55,152,240
42,26,17,12,16,191,0.014646261,98,3496,5885,9162,12,9,1,1,741,80,240,494
16,12,26,12,17,209,-0.009110656,191,5885,9162,14923,16,1,1,5,1040,98,494,741
17,12,13,16,26,34,-0.021408041,209,9162,14923,1554,6,1,5,7,155,191,741,1040
21,16,21,21,36,158,-0.005884412,174,4208,4906,8721,6,5,4,3,565,95,291,334
24,19,36,16,21,174,-0.005884412,95,11505,4208,4906,21,6,5,4,334,229,979,291
56,35,1,9,9,2,0.003914286,13,9569,585,434,2,15,3,0,38,172,721,47
25,18,9,35,56,13,-0.004838033,172,4590,9569,585,9,3,15,3,47,79,369,721
9,9,28,2,1,76,0.003914286,2,585,434,2874,22,3,0,5,224,13,47,38
21,6,49,6,14,178,0.005673714,174,8721,6820,7996,21,3,3,14,594,158,565,514
36,21,14,6,21,174,-0.005884412,158,4906,8721,6820,6,4,3,3,514,174,334,565
49,21,56,18,25,172,0.025011617,79,7996,4590,9569,35,14,3,15,721,178,594,369
14,6,25,21,49,79,0.022934725,178,6820,7996,4590,18,3,14,3,369,174,514,594
28,22,10,6,9,58,-0.00103737,66,2874,4107,3221,6,5,1,4,231,76,224,329
1,2,9,22,28,66,0.003914286,76,434,2874,4107,6,0,5,1,329,2,38,224
