date,name_mentioned0,pos_neighbors0,name_mentioned2,pos_neighbors1,name_mentioned1,neg2,price_change,neg1,total0,total1,total2,pos_neighbors2,neg_neighbors0,neg_neighbors1,neg_neighbors2,pos2,neg0,pos0,pos1
2015-10-16,27,14,6,16,26,11,0.025755714,19,760,725,646,7,6,4,3,52,14,43,50
2015-10-15,26,16,2,7,6,53,0.020426009,11,725,646,1453,0,4,3,0,92,19,50,52
2015-11-11,1,1,27,20,33,144,0.011916868,30,585,1264,8812,26,0,7,5,747,12,45,103
2015-11-10,33,20,0,26,27,38,-0.039186979,144,1264,8812,2265,0,7,5,0,133,30,103,747
2015-10-29,13,11,7,2,5,37,-0.006245313,24,733,832,1494,1,3,0,2,110,23,55,49
2015-10-28,5,2,24,1,7,34,0.012407896,37,832,1494,1702,8,0,2,7,145,24,49,110
2015-10-24,36,15,28,8,21,13,0.02950882,62,1508,1514,791,16,16,8,3,64,76,93,98
2015-10-23,21,8,5,16,28,23,-0.01242209,13,1514,791,583,5,8,3,0,50,62,98,64
2015-10-22,28,16,11,5,5,19,0.007758604,23,791,583,313,4,3,0,7,13,13,64,50
2015-11-08,0,0,16,0,0,190,-0.030254773,21,2265,775,9314,6,0,0,6,618,38,133,69
2015-11-09,27,26,0,0,0,21,-0.030254773,38,8812,2265,775,0,5,0,0,69,144,747,133
2015-11-02,12,6,22,1,2,21,0.033151308,12,2055,459,764,11,1,0,2,42,55,106,13
2015-11-03,50,23,2,6,12,12,-0.025445471,55,3131,2055,459,1,10,1,0,13,104,170,106
2015-11-06,16,6,58,30,41,163,0.002545614,64,9314,2177,6080,37,6,9,13,340,190,618,176
2015-11-07,0,0,41,6,16,64,-0.030254773,190,775,9314,2177,30,0,6,9,176,21,69,618
2015-11-04,58,37,12,23,50,55,0.111735053,104,6080,3131,2055,6,13,10,1,106,163,340,170
2015-11-05,41,30,50,37,58,104,0.000604408,163,2177,6080,3131,23,9,13,10,170,64,176,340
